path,label
./datasets/n01532829/n01532829_1311.JPEG,1
./datasets/n01532829/n01532829_3833.JPEG,1
./datasets/n01532829/n01532829_13864.JPEG,1
./datasets/n01532829/n01532829_4331.JPEG,1
./datasets/n01532829/n01532829_10776.JPEG,1
./datasets/n01532829/n01532829_1421.JPEG,1
./datasets/n01532829/n01532829_22583.JPEG,1
./datasets/n01532829/n01532829_22797.JPEG,1
./datasets/n01532829/n01532829_31588.JPEG,1
./datasets/n01532829/n01532829_2119.JPEG,1
./datasets/n01532829/n01532829_4980.JPEG,1
./datasets/n01532829/n01532829_243.JPEG,1
./datasets/n01532829/n01532829_251.JPEG,1
./datasets/n01532829/n01532829_716.JPEG,1
./datasets/n01532829/n01532829_5532.JPEG,1
./datasets/n01532829/n01532829_3998.JPEG,1
./datasets/n01532829/n01532829_14733.JPEG,1
./datasets/n01532829/n01532829_11167.JPEG,1
./datasets/n01532829/n01532829_12818.JPEG,1
./datasets/n01532829/n01532829_16058.JPEG,1
./datasets/n01532829/n01532829_4179.JPEG,1
./datasets/n01532829/n01532829_17979.JPEG,1
./datasets/n01532829/n01532829_1033.JPEG,1
./datasets/n01532829/n01532829_3967.JPEG,1
./datasets/n01532829/n01532829_31947.JPEG,1
./datasets/n01532829/n01532829_585.JPEG,1
./datasets/n01532829/n01532829_2703.JPEG,1
./datasets/n01532829/n01532829_10127.JPEG,1
./datasets/n01532829/n01532829_958.JPEG,1
./datasets/n01532829/n01532829_21824.JPEG,1
./datasets/n01532829/n01532829_4786.JPEG,1
./datasets/n01532829/n01532829_10259.JPEG,1
./datasets/n01532829/n01532829_13813.JPEG,1
./datasets/n01532829/n01532829_1051.JPEG,1
./datasets/n01532829/n01532829_4319.JPEG,1
./datasets/n01532829/n01532829_15927.JPEG,1
./datasets/n01532829/n01532829_1949.JPEG,1
./datasets/n01532829/n01532829_3874.JPEG,1
./datasets/n01532829/n01532829_4691.JPEG,1
./datasets/n01532829/n01532829_33799.JPEG,1
./datasets/n01532829/n01532829_15851.JPEG,1
./datasets/n01532829/n01532829_8622.JPEG,1
./datasets/n01532829/n01532829_298.JPEG,1
./datasets/n01532829/n01532829_33940.JPEG,1
